time,x,y,z
1747839588.7577713,-0.12332107221089511,0.02253926233475345,0.21063660411433416
1747839588.8622513,-0.12230068126590904,0.02430412322185177,0.20956510792478544
1747839588.971502,-0.12374974544487388,0.02404092937960628,0.21104744341624604
1747839589.0700452,-0.12205985283538778,0.02519309958176741,0.20884683336719312
1747839589.1722636,-0.12441130523109856,0.02458329381651303,0.2108465944239324
1747839589.2716293,-0.12418188585094497,0.02608782771879542,0.2117123303160071
1747839589.3698852,-0.1270162902382086,0.026014947317301806,0.21753885803282358
1747839589.482835,-0.12422480372035877,0.03107461213417706,0.2153305323550493
1747839589.5712302,-0.1313785533390579,0.034873651912469494,0.22130373478048226
1747839589.67034,-0.1414819150948241,0.044167405963250306,0.23043306174227107
1747839589.7728517,-0.1596704398273051,0.054875148301892274,0.2450743569656061
1747839589.8671339,-0.1630079753259135,0.08255708223217068,0.26100325883110365
1747839589.9729898,-0.1761790647340915,0.09803866574073655,0.27353345296799514
1747839590.0665023,-0.21603460966764,0.10991170931894984,0.2842092484197781
1747839590.1713192,-0.2501933626762221,0.12120974723537911,0.2842145602452818
1747839590.3061926,-0.26818958902182066,0.1253593662362086,0.2802753687554218
1747839590.373767,-0.28270888342809714,0.12650883617038738,0.27080950105098067
1747839590.4727905,-0.28620253499334986,0.125760506890203,0.2615378883015044
1747839590.5837598,-0.279823719750393,0.1265343034886499,0.2545766215371127
1747839590.6742039,-0.2771469629496544,0.12568471244091023,0.24820758186620606
1747839590.777171,-0.2759175251655279,0.12064648798790206,0.2453828414858681
1747839590.8690534,-0.2683734538285121,0.11747222088215575,0.23997256855988625
1747839590.9745674,-0.2674885165565587,0.11388736104511774,0.24150111762622983
1747839591.0745306,-0.2628211381915874,0.11077402521190333,0.24325352292350488
1747839591.1745658,-0.24891718713831512,0.10576111232148502,0.2530830196634952
1747839591.2745397,-0.22545679715748362,0.10147806130877923,0.2607252796292565
1747839591.3824027,-0.2000292447481809,0.08833194749757128,0.2720666179599047
1747839591.3831964,-0.1992267159441256,0.08839474450411805,0.27264924473386887
